"last_purchase","max_discount","shoe_spend","apparell_spend","acc_spend","custserv_calls","churn","acc_purchasers","promo_purchaser","shoe_orders","apparel_orders","acc_orders","gender","ecommShopper","bhShopper","state","area_code","phone"
38.5,0,262.9,"221",112,2,0,0,0,2,3,4,"Male",FALSE,TRUE,"ND",510,"345-8433"
41.5,0,321,"157.4",115,3,0,0,0,3,2,4,"Male",FALSE,TRUE,"MD",415,"348-3338"
49,0.3,240.3,"123.3",111,1,0,1,1,2,2,3,"Male",TRUE,FALSE,"MS",510,"405-6398"
51,0,257.4,"126.9",110,0,0,0,0,2,2,3,"Female",FALSE,TRUE,"NV",415,"347-1814"
66,0.21,192.1,"198.3",71,1,0,0,1,2,2,2,"Male",FALSE,FALSE,"SC",415,"418-8969"
78.5,0.29,222.2,"166.3",84,3,0,0,1,2,2,3,"Male",TRUE,TRUE,"NE",510,"356-4832"
67,0,329.7,"275",95,1,1,0,0,3,3,3,"Female",FALSE,TRUE,"MT",408,"405-4920"
63.5,0.35,247.8,"182.7",110,1,0,0,1,2,2,3,"Male",FALSE,TRUE,"MT",415,"384-5907"
75.5,0,204.8,"144.9",94,2,0,0,0,2,2,3,"Female",FALSE,TRUE,"TX",510,"336-9901"
41,0,397.9,"287.8",54,4,1,0,0,3,3,2,"Female",FALSE,TRUE,"NY",415,"351-7269"
73.5,0,235.5,"247.5",122,1,0,0,0,2,3,4,"Male",FALSE,TRUE,"ID",408,"363-3295"
55.5,0,148.4,"202.2",76,1,0,0,0,1,2,3,"Female",TRUE,TRUE,"KS",415,"369-3214"
81.5,0,225.6,"207",107,1,0,0,0,2,2,3,"Male",TRUE,TRUE,"VT",415,"342-7514"
52.5,0,285.2,"58.3",129,0,0,0,0,2,1,4,"Male",FALSE,TRUE,"NJ",510,"400-5751"
96.5,0,196.7,"186.5",110,1,0,0,0,2,2,3,"Male",TRUE,TRUE,"WV",510,"358-3114"
27,0,273.3,"206.7",113,3,0,0,0,2,2,4,"Female",FALSE,TRUE,"OK",415,"383-2537"
58,0,310.2,"187.2",139,0,1,0,0,3,2,4,"Female",TRUE,FALSE,"NJ",510,"405-3309"
91.5,0.31,256.8,"237.8",128,2,0,0,1,2,3,4,"Male",TRUE,TRUE,"NY",510,"328-4231"
81,0,285.8,"118.5",76,2,0,0,0,2,2,3,"Male",FALSE,FALSE,"MA",510,"403-4200"
53.5,0.35,270.5,"268.5",69,1,0,0,1,2,3,2,"Male",TRUE,FALSE,"VA",415,"384-7216"
71.5,0,196.1,"146.2",43,1,0,0,0,2,2,2,"Female",FALSE,TRUE,"AZ",415,"390-1552"
90,0,193.7,"210.8",128,1,0,0,0,2,2,4,"Male",FALSE,TRUE,"OK",415,"388-7355"
61,0,233.6,"138.6",123,1,0,0,0,2,2,4,"Male",FALSE,TRUE,"DC",408,"368-2458"
98.5,0,229.2,"166.2",81,1,0,0,0,2,2,3,"Female",FALSE,TRUE,"OK",415,"354-8191"
30.5,0.24,193.1,"113.4",116,1,0,0,1,2,2,4,"Male",FALSE,TRUE,"AL",415,"418-3096"
67,0,218.1,"204.1",99,3,0,0,0,2,2,3,"Male",FALSE,TRUE,"AR",510,"378-4294"
89,0,201.1,"242.9",44,1,0,0,0,2,3,2,"Male",TRUE,FALSE,"MS",415,"343-2095"
48,0,277.8,"174.1",102,1,0,0,0,2,2,3,"Male",FALSE,FALSE,"KY",408,"396-2945"
69,0,166.4,"129.1",122,1,0,0,0,1,2,4,"Male",TRUE,FALSE,"MS",415,"343-9654"
54.5,0.41,227,"294.7",119,0,0,0,1,2,3,4,"Female",FALSE,FALSE,"MI",415,"369-9772"
51,0,216.5,"212.2",108,1,0,0,0,2,2,3,"Male",FALSE,TRUE,"WA",415,"401-7575"
65.5,0.23,351.6,"285.3",103,1,0,0,1,3,3,3,"Female",FALSE,TRUE,"NY",415,"404-9504"
64,0,310.2,"129",72,0,0,0,0,3,2,2,"Male",FALSE,FALSE,"AK",415,"333-3704"
35,0,256.4,"138.5",103,1,0,0,0,2,2,3,"Male",FALSE,TRUE,"WV",415,"332-1109"
67.5,0,263.5,"237.8",94,0,1,0,0,2,3,3,"Male",TRUE,TRUE,"VA",408,"335-1697"
92,0,269.3,"217.3",120,1,0,0,0,2,3,4,"Male",FALSE,TRUE,"MI",415,"375-9671"
82,0.17,232.9,"213.7",91,1,0,0,1,2,3,3,"Male",FALSE,TRUE,"IA",415,"344-6935"
89,0.29,223.1,"292.2",89,1,0,0,1,2,3,3,"Female",TRUE,FALSE,"MN",510,"354-8491"
54.5,0.4,207.9,"58.6",108,1,0,0,1,2,1,3,"Male",FALSE,TRUE,"AZ",415,"332-6633"
77.5,0,178.7,"135.1",108,1,0,0,0,1,2,3,"Male",FALSE,TRUE,"IA",415,"410-2015"
65,0.3,248.8,"153.4",116,0,0,0,1,2,2,4,"Male",FALSE,TRUE,"ID",415,"336-9053"
41,0,216.6,"189.4",40,1,0,0,0,2,2,2,"Female",FALSE,FALSE,"WA",415,"378-8137"
39.5,0.27,224.7,"138.8",96,3,0,0,1,2,2,3,"Female",FALSE,FALSE,"OH",510,"347-1263"
78,0,233.2,"194.7",129,1,0,0,0,2,2,4,"Male",FALSE,TRUE,"NM",415,"357-2735"
121,0,188.8,"206.2",37,0,0,0,0,2,2,1,"Male",FALSE,TRUE,"SC",408,"336-1043"
94,0.39,204.3,"148.3",81,3,0,0,1,2,2,3,"Male",FALSE,TRUE,"AK",408,"365-6756"
94,0,184.7,"201.8",46,2,0,0,0,2,2,2,"Female",TRUE,TRUE,"NM",510,"338-9873"
65.5,0,337.5,"196.1",164,3,1,0,0,3,2,5,"Male",TRUE,TRUE,"TN",415,"339-6477"
61,0,272.9,"180.5",77,2,0,0,0,2,2,3,"Male",FALSE,FALSE,"WA",408,"392-2708"
76.5,0,179.4,"97.7",101,2,0,0,0,1,2,3,"Male",FALSE,TRUE,"MD",415,"353-3203"
85,0,259.8,"137.2",108,1,0,0,0,2,2,3,"Male",FALSE,FALSE,"KS",408,"385-2370"
79,0,275.3,"165.8",112,1,0,0,0,2,2,4,"Male",FALSE,FALSE,"AL",415,"368-9007"
71.5,0.38,242.1,"133.7",74,0,0,0,1,2,2,2,"Male",FALSE,TRUE,"CT",415,"360-9676"
98.5,0,105.4,"142.4",90,2,0,0,0,1,2,3,"Male",FALSE,TRUE,"RI",408,"404-9775"
72,0,287.4,"155.8",120,2,0,0,0,2,2,4,"Male",FALSE,TRUE,"ME",415,"347-8205"
43.5,0.27,257.3,"169.9",148,1,0,0,1,2,2,4,"Male",FALSE,TRUE,"NJ",408,"405-7119"
55,0,319.7,"222.2",80,0,1,1,0,3,3,3,"Male",TRUE,FALSE,"OH",408,"379-1720"
72,0,306.1,"125.6",116,1,0,0,0,3,2,4,"Female",FALSE,FALSE,"LA",415,"411-2284"
76.5,0,240.9,"255.2",130,1,0,0,0,2,3,4,"Male",TRUE,TRUE,"CT",415,"347-6994"
65.5,0,308.4,"152.1",128,1,0,0,0,3,2,4,"Male",FALSE,TRUE,"MI",510,"420-1383"
84.5,0,190.8,"177.7",141,1,1,1,0,2,2,4,"Male",FALSE,TRUE,"KY",510,"368-7555"
68,0.28,266.8,"274.9",119,1,0,0,1,2,3,4,"Male",FALSE,FALSE,"VT",510,"342-5062"
98,0,112.8,"148.9",133,0,1,1,0,1,2,4,"Male",FALSE,TRUE,"KS",510,"418-5300"
56,0,276.8,"230.5",108,0,0,0,0,2,3,3,"Male",FALSE,TRUE,"NJ",415,"411-1810"
41.5,0,162.5,"238.1",132,3,0,0,0,1,3,4,"Male",FALSE,TRUE,"MT",415,"329-8436"
47,0,272.3,"168.4",86,1,0,0,0,2,2,3,"Male",TRUE,TRUE,"NC",510,"363-1719"
40,0,256.3,"163.9",128,1,0,0,0,2,2,4,"Male",FALSE,TRUE,"KS",415,"347-4112"
79,0,324.8,"212.3",54,0,0,0,0,3,2,2,"Male",FALSE,FALSE,"NE",415,"416-5662"
71.5,0.26,218.7,"107.8",159,1,0,0,1,2,2,5,"Female",FALSE,TRUE,"AZ",415,"331-9861"
25.5,0,250,"194.9",114,2,0,0,0,2,2,4,"Male",FALSE,TRUE,"CO",415,"401-6392"
106,0,230.4,"173.7",82,1,0,0,0,2,2,3,"Male",TRUE,TRUE,"FL",510,"402-3634"
70.5,0,188.1,"152",126,2,0,0,0,2,2,4,"Male",FALSE,FALSE,"AL",415,"337-1100"
99.5,0,353.1,"228",102,3,1,0,0,3,3,3,"Male",TRUE,FALSE,"GA",510,"419-8987"
84.5,0,167.7,"119.3",110,0,0,0,0,1,2,3,"Male",FALSE,FALSE,"NC",415,"329-5377"
75.5,0,222.7,"268.6",138,1,0,0,0,2,3,4,"Female",FALSE,TRUE,"WI",415,"351-2773"
69,0,297.6,"223.4",105,1,0,0,0,2,3,3,"Male",TRUE,TRUE,"ID",408,"363-3469"
71.5,0,224.9,"149.9",116,2,1,1,0,2,2,4,"Female",FALSE,TRUE,"MN",415,"399-2151"
71.5,0,312.8,"100",69,1,0,0,0,3,2,2,"Male",FALSE,TRUE,"IN",510,"367-4277"
63,0.2,270.7,"106.1",87,2,0,0,1,2,2,3,"Male",FALSE,TRUE,"UT",510,"341-3663"
78.5,0,213.2,"255.1",62,2,0,0,0,2,3,2,"Male",FALSE,TRUE,"MI",408,"369-6308"
74,0,249.2,"151.6",128,2,0,0,0,2,2,4,"Male",FALSE,FALSE,"DE",510,"367-8298"
79.5,0,224,"137.9",123,1,0,0,0,2,2,4,"Male",TRUE,TRUE,"AZ",415,"341-2360"
96.5,0,366.7,"137.1",105,1,0,0,0,3,2,3,"Male",FALSE,FALSE,"CT",408,"351-9037"
52.5,0.29,255.1,"193.2",142,0,0,0,1,2,2,4,"Female",FALSE,TRUE,"MO",415,"408-1340"
49.5,0,198.3,"225.5",116,0,0,0,0,2,3,4,"Male",FALSE,FALSE,"DC",415,"336-7696"
79.5,0,364.4,"31.9",66,2,0,1,0,3,1,2,"Male",TRUE,TRUE,"OH",408,"375-9999"
83,0,310.2,"224.1",75,0,1,0,0,3,3,3,"Female",FALSE,FALSE,"CT",415,"335-6508"
41.5,0,239.3,"141.3",83,0,0,0,0,2,2,3,"Male",TRUE,TRUE,"GA",415,"335-8836"
86,0,250,"202.5",149,3,0,0,0,2,2,5,"Male",TRUE,TRUE,"AK",510,"332-2275"
104,0,203.1,"128.2",103,5,1,0,0,2,2,3,"Female",FALSE,TRUE,"NH",408,"393-8762"
81.5,0,189.3,"143",79,1,0,0,0,2,2,3,"Male",FALSE,TRUE,"AR",415,"340-4953"
63.5,0,224.4,"149.5",97,6,1,0,0,2,2,3,"Male",TRUE,TRUE,"MD",408,"405-2276"
61,0,209.8,"170.6",133,0,1,0,0,2,2,4,"Female",FALSE,FALSE,"SC",415,"415-6347"
90,0.29,207.3,"88.7",66,1,0,0,1,2,1,2,"Male",FALSE,TRUE,"NC",415,"347-7420"
78,0,242.2,"218.9",86,3,0,0,0,2,3,3,"Male",FALSE,FALSE,"DE",415,"379-4372"
76,0,212.2,"145.2",133,2,0,0,0,2,2,4,"Male",FALSE,FALSE,"LA",408,"413-4811"
70.5,0,289.7,"99.4",158,1,0,0,0,2,2,5,"Male",FALSE,TRUE,"AL",408,"364-7622"
94.5,0,301.3,"122.8",112,3,0,1,0,3,2,4,"Male",FALSE,FALSE,"NY",510,"390-6932"
74,0,232.6,"146",134,2,0,0,0,2,2,4,"Male",FALSE,TRUE,"OR",415,"364-8774"
83,0.23,274.7,"153.6",71,2,0,0,1,2,2,2,"Male",FALSE,TRUE,"AR",415,"408-3610"
65.5,0.3,125.6,"135.9",133,0,0,0,1,1,2,4,"Male",TRUE,TRUE,"NY",408,"396-7687"
14,0,148.6,"90.9",107,0,0,0,0,1,1,3,"Male",FALSE,TRUE,"WY",510,"393-9619"
71,0,296.3,"194.7",72,1,0,0,0,2,2,2,"Female",FALSE,TRUE,"KS",415,"347-9968"
73,0,301.9,"127.6",73,0,1,1,0,3,2,2,"Male",FALSE,TRUE,"WY",510,"346-1629"
100.5,0,157.2,"181.2",131,1,0,0,0,1,2,4,"Male",TRUE,FALSE,"ID",415,"363-2193"
27.5,0.26,263.8,"136.6",144,1,1,1,1,2,2,4,"Female",TRUE,TRUE,"NM",415,"369-6890"
76,0,224,"225.1",101,0,0,0,0,2,3,3,"Male",FALSE,FALSE,"NE",510,"339-6968"
60.5,0.37,228,"282.8",116,1,0,0,1,2,3,4,"Male",FALSE,TRUE,"NY",415,"403-9468"
68.5,0.29,148.6,"173.9",81,1,0,0,1,1,2,3,"Male",FALSE,TRUE,"AL",408,"404-5283"
58,0.36,248.2,"96.8",112,1,0,0,1,2,2,4,"Male",FALSE,FALSE,"AK",510,"345-8237"
94.5,0.33,226.8,"243",137,0,0,0,1,2,3,4,"Male",TRUE,FALSE,"CT",415,"387-4064"
72,0,282.2,"216.7",158,3,0,0,0,2,3,5,"Male",FALSE,TRUE,"RI",510,"386-3671"
51,0.28,373,"217.8",74,1,0,0,1,3,3,2,"Male",FALSE,TRUE,"AL",510,"388-8583"
79,0.21,348.2,"209.7",63,5,0,0,1,3,2,2,"Female",FALSE,TRUE,"CO",510,"394-6668"
50.5,0.3,219,"135.8",108,1,0,0,1,2,2,3,"Male",FALSE,FALSE,"MO",415,"417-2054"
69.5,0,203.7,"185.4",49,2,0,0,0,2,2,2,"Female",FALSE,TRUE,"WY",415,"365-6022"
71.5,0,231,"206.1",109,1,0,0,0,2,2,3,"Male",TRUE,FALSE,"WV",415,"381-3735"
121,0,261.1,"266.5",70,1,0,0,0,2,3,2,"Female",TRUE,FALSE,"TN",415,"335-5591"
69,0,335.9,"196.2",88,0,1,0,0,3,2,3,"Male",FALSE,TRUE,"CO",408,"334-8694"
69,0,221.5,"110.2",122,2,0,0,0,2,2,4,"Male",FALSE,TRUE,"ME",415,"403-4442"
49.5,0.35,239.8,"189.6",128,0,0,1,1,2,2,4,"Male",TRUE,TRUE,"CT",510,"416-9021"
53.5,0,269.5,"178.8",98,0,0,0,0,2,2,3,"Male",FALSE,TRUE,"DC",510,"353-2763"
97.5,0,340.2,"150.2",79,1,0,0,0,3,2,3,"Female",FALSE,TRUE,"WV",408,"408-3269"
40,0.23,225,"159.4",104,1,0,0,1,2,2,3,"Female",FALSE,TRUE,"MT",510,"398-9408"
74.5,0,277.1,"159.4",84,3,0,0,0,2,2,3,"Male",FALSE,TRUE,"LA",415,"371-3236"
68,0,168.4,"159.3",144,1,0,0,0,1,2,4,"Male",FALSE,TRUE,"CT",408,"339-2734"
89.5,0.27,266.3,"113.8",123,1,0,0,1,2,2,4,"Male",FALSE,TRUE,"DE",415,"402-3599"
54,0,255.9,"131.4",84,1,0,0,0,2,2,3,"Male",FALSE,TRUE,"HI",415,"333-4492"
59,0,252.3,"130.7",96,0,1,1,0,2,2,3,"Female",FALSE,TRUE,"CT",415,"409-7523"
90.5,0,224.7,"167.5",139,0,1,1,0,2,2,4,"Male",FALSE,TRUE,"MA",415,"386-2810"
54.5,0,248.8,"93.5",61,1,0,0,0,2,2,2,"Male",FALSE,FALSE,"IL",408,"382-9447"
79.5,0.42,230.3,"193.5",76,3,0,0,1,2,2,3,"Female",FALSE,TRUE,"CT",510,"351-1007"
55,0,208.8,"154",129,3,0,0,0,2,2,4,"Female",FALSE,TRUE,"OR",415,"378-1144"
85.5,0.21,203.1,"230.1",82,2,0,0,1,2,3,3,"Female",FALSE,TRUE,"VT",415,"418-3017"
60,0,269.4,"107.5",100,0,0,0,0,2,2,3,"Male",FALSE,TRUE,"IA",415,"420-6052"
85,0,225.1,"183.3",130,0,0,0,0,2,2,4,"Male",FALSE,TRUE,"MT",415,"370-3450"
86.5,0,240.4,"129.5",116,0,0,0,0,2,2,4,"Male",FALSE,TRUE,"WY",415,"365-6205"
72,0,319.4,"129.3",60,1,0,0,0,3,2,2,"Female",FALSE,TRUE,"DE",415,"416-6628"
70,0,263.5,"12.5",124,0,0,0,0,2,1,4,"Male",FALSE,TRUE,"MN",415,"386-9141"
51.5,0,214.7,"182.5",126,3,0,0,0,2,2,4,"Female",TRUE,TRUE,"CO",415,"344-5206"
83,0.44,168.2,"206.3",119,0,1,1,1,1,2,4,"Male",FALSE,FALSE,"NC",408,"334-6129"
67.5,0.35,234.8,"143.7",95,2,0,0,1,2,2,3,"Male",TRUE,TRUE,"KY",415,"393-9424"
36.5,0.37,243.1,"212.8",130,0,0,0,1,2,3,4,"Male",FALSE,TRUE,"ID",510,"343-2465"
51.5,0.28,222.1,"142.4",111,1,0,0,1,2,2,3,"Male",FALSE,FALSE,"SC",510,"347-9769"
57,0,166.4,"219.1",71,1,0,0,0,1,3,2,"Male",FALSE,TRUE,"TN",408,"352-4534"
96,0,297.4,"157.4",91,1,0,0,0,2,2,3,"Female",FALSE,FALSE,"WA",408,"338-6981"
59,0,191.7,"176",133,1,0,0,0,2,2,4,"Male",TRUE,FALSE,"DE",408,"359-9794"
75,0,217.1,"185.5",120,1,0,0,0,2,2,4,"Female",FALSE,TRUE,"WI",415,"392-6286"
61,0.2,276.9,"185.1",94,0,0,0,1,2,2,3,"Female",FALSE,TRUE,"RI",510,"336-1353"
29,0,120.6,"258.7",121,2,0,0,0,1,3,4,"Female",FALSE,TRUE,"FL",408,"417-5034"
58,0.25,147.2,"133.3",51,0,0,0,1,1,2,2,"Female",FALSE,TRUE,"NC",415,"418-5141"
51,0,282.1,"211.5",120,0,0,0,0,2,2,4,"Female",FALSE,TRUE,"VA",415,"417-4885"
80.5,0,265.3,"171.2",71,4,0,0,0,2,2,2,"Male",FALSE,TRUE,"TX",408,"400-3446"
44,0.21,260.9,"183.9",86,0,0,0,1,2,2,3,"Male",FALSE,TRUE,"NE",408,"391-2702"
65,0,215.1,"170.1",110,2,0,0,0,2,2,3,"Male",TRUE,FALSE,"NM",510,"366-9211"
77.5,0,196.5,"144.8",79,5,1,0,0,2,2,3,"Male",FALSE,TRUE,"WV",510,"421-1326"
69.5,0,345.4,"149.4",152,5,0,0,0,3,2,5,"Male",FALSE,TRUE,"IN",408,"382-2026"
55.5,0,228.2,"137.6",62,1,0,0,0,2,2,2,"Male",TRUE,FALSE,"ND",510,"372-1824"
53.5,0,315.2,"237.1",130,1,1,0,0,3,3,4,"Female",TRUE,TRUE,"MD",415,"375-1476"
101,0.22,278.8,"111.8",72,0,0,0,1,2,2,2,"Female",FALSE,TRUE,"TX",408,"370-7550"
43.5,0,215.5,"122.9",35,1,0,0,0,2,2,1,"Male",FALSE,TRUE,"CO",408,"364-6445"
75,0.32,203.1,"137.3",68,2,0,0,1,2,2,2,"Male",TRUE,TRUE,"VT",408,"408-5183"
79,0,230.8,"160",109,5,1,0,0,2,2,3,"Female",TRUE,FALSE,"MO",510,"383-6095"
73.5,0.31,248.4,"165.5",105,1,0,0,1,2,2,3,"Male",FALSE,TRUE,"CA",510,"341-4103"
58,0.27,205.1,"193.4",38,1,0,0,1,2,2,2,"Male",FALSE,TRUE,"RI",415,"400-1280"
103.5,0,243.6,"183.1",109,1,0,0,0,2,2,3,"Male",FALSE,TRUE,"KS",510,"368-8835"
65.5,0,235.5,"163.2",112,0,0,0,0,2,2,4,"Male",TRUE,TRUE,"KY",415,"360-8135"
78.5,0,255.5,"149.6",101,3,0,0,0,2,2,3,"Male",TRUE,TRUE,"NC",510,"391-8626"
56,0,328.4,"121.9",107,2,0,0,0,3,2,3,"Male",FALSE,TRUE,"IL",510,"394-9984"
85,0,248.4,"212",75,4,0,0,0,2,2,3,"Male",FALSE,TRUE,"OH",415,"338-4065"
27,0.3,220.2,"165.5",154,1,0,0,1,2,2,5,"Male",FALSE,TRUE,"MD",415,"411-1325"
95,0.18,211.8,"280",72,0,0,0,1,2,3,2,"Female",TRUE,TRUE,"RI",408,"422-4956"
94,0.2,272.7,"169.7",73,1,0,0,1,2,2,2,"Male",TRUE,TRUE,"MI",415,"387-6912"
75,0.32,181.9,"202.4",110,0,0,0,1,1,2,3,"Female",TRUE,TRUE,"OK",415,"418-4658"
84,0.38,228.6,"116.7",131,3,0,0,1,2,2,4,"Female",TRUE,FALSE,"CA",510,"350-1422"
57.5,0.29,244.3,"195.9",86,0,0,0,1,2,2,3,"Female",FALSE,FALSE,"VT",510,"388-6441"
89.5,0.27,247.1,"139.7",106,2,0,0,1,2,2,3,"Male",TRUE,TRUE,"NH",408,"394-2445"
56.5,0.45,239.5,"187.5",122,1,0,0,1,2,2,4,"Male",TRUE,TRUE,"MD",415,"364-9567"
106,0.31,165.1,"216.3",59,0,0,0,1,1,3,2,"Female",FALSE,TRUE,"CT",415,"390-9359"
88,0.4,169.9,"186.3",96,1,0,0,1,1,2,3,"Male",TRUE,TRUE,"NH",415,"355-1113"
75.5,0,156.7,"163.7",92,2,0,0,0,1,2,3,"Female",FALSE,FALSE,"TX",408,"409-5939"
62,0.26,197,"143.3",116,1,0,0,1,2,2,4,"Female",TRUE,TRUE,"DC",408,"418-7478"
67,0,283.9,"269.9",113,2,0,0,0,2,3,4,"Male",TRUE,TRUE,"AL",408,"361-2924"
60.5,0,295.9,"213.2",110,0,1,1,0,2,3,3,"Male",TRUE,TRUE,"PA",415,"383-4061"
51,0,307.8,"204.1",60,5,0,0,0,3,2,2,"Male",FALSE,TRUE,"AL",408,"391-6773"
87.5,0,314.9,"224.5",89,2,1,0,0,3,3,3,"Male",FALSE,FALSE,"IN",510,"330-9354"
85.5,0,204.9,"193.6",127,2,0,0,0,2,2,4,"Male",FALSE,TRUE,"VT",415,"336-9327"
86.5,0,199.7,"205.9",76,3,0,0,0,2,2,3,"Male",FALSE,TRUE,"RI",415,"369-4962"
72,0.28,265.7,"234.2",91,1,0,0,1,2,3,3,"Female",FALSE,FALSE,"WY",408,"389-8606"
50,0.24,251.6,"192",116,1,0,0,1,2,2,4,"Male",FALSE,TRUE,"KS",408,"407-2081"
58.5,0,291.2,"110.3",64,0,0,0,0,2,2,2,"Male",FALSE,TRUE,"VT",415,"403-3229"
72.5,0,292.1,"90.5",47,5,1,0,0,2,1,2,"Female",FALSE,TRUE,"AR",415,"328-7833"
103,0,271,"156",84,0,0,0,0,2,2,3,"Male",TRUE,TRUE,"NH",415,"341-7332"
52,0,276.1,"176.9",56,0,0,0,0,2,2,2,"Male",TRUE,TRUE,"NE",415,"375-9930"
96,0,234.3,"109.5",120,0,0,0,0,2,2,4,"Female",TRUE,TRUE,"WV",408,"401-4844"
87,0,250.3,"189.1",55,0,0,0,0,2,2,2,"Female",FALSE,FALSE,"IN",408,"357-3577"
78,0,211.3,"141.8",53,1,0,0,0,2,2,2,"Male",TRUE,TRUE,"UT",415,"411-6663"
87,0.27,333.8,"216.6",164,0,0,0,1,3,3,5,"Female",FALSE,FALSE,"MS",510,"342-8320"
83.5,0,234.5,"94",100,0,0,0,0,2,2,3,"Male",FALSE,TRUE,"OR",415,"410-9477"
43,0.29,284.2,"176",150,1,0,0,1,2,2,5,"Male",FALSE,TRUE,"DC",510,"392-6647"
43.5,0,243.8,"148.4",75,1,0,0,0,2,2,3,"Female",FALSE,TRUE,"AR",415,"388-6223"
56.5,0,317,"140.2",57,0,0,0,0,3,2,2,"Female",TRUE,TRUE,"TX",408,"385-6175"
16.5,0.31,378.8,"117.7",101,3,0,0,1,3,2,3,"Female",FALSE,FALSE,"NC",415,"363-7802"
85,0,289.4,"129.5",130,1,0,0,0,2,2,4,"Male",FALSE,TRUE,"TX",415,"373-2782"
63.5,0.35,265.4,"242.8",83,1,0,0,1,2,3,3,"Male",TRUE,TRUE,"WI",415,"364-2439"
73,0,283,"154",64,3,0,0,0,2,2,2,"Male",FALSE,FALSE,"MD",415,"397-4030"
54.5,0,273.3,"223.6",126,1,0,0,0,2,3,4,"Male",TRUE,TRUE,"WA",408,"371-8598"
74.5,0,255.6,"122.3",75,1,0,0,0,2,2,3,"Female",FALSE,TRUE,"NV",510,"379-8805"
53.5,0,166.7,"172.8",94,3,0,0,0,1,2,3,"Male",TRUE,FALSE,"DE",415,"353-1954"
61.5,0,267,"154.3",74,2,1,1,0,2,2,2,"Female",TRUE,TRUE,"CT",408,"344-1136"
86,0.22,206.4,"133",56,2,0,0,1,2,2,2,"Male",FALSE,FALSE,"KY",510,"403-1953"
